listing_id,date
71609,2011-12-19
71609,2012-07-17
71609,2012-09-01
71609,2012-09-04
71609,2013-01-02
71609,2014-01-28
71609,2014-07-01
71609,2015-05-31
71609,2015-10-05
3209752,2019-09-05
3209752,2019-09-10
3209752,2019-09-14
3209752,2019-09-30
3209752,2019-10-11
3209752,2019-10-26
3209752,2019-11-13
3209752,2019-11-15
3209752,2019-12-08
3209752,2019-12-16
3209752,2019-12-18
3209752,2020-02-26
3209752,2020-03-02
71609,2016-01-04
71609,2018-07-14
71609,2019-01-06
71609,2019-07-27
71609,2019-08-11
71609,2019-09-07
71609,2019-12-01
71609,2019-12-07
71609,2019-12-24
71609,2019-12-28
71609,2020-01-17
71896,2011-07-30
3304326,2014-08-25
3304326,2014-08-28
3304326,2014-09-15
3304326,2014-10-11
3304326,2014-10-13
3304326,2015-03-08
3304326,2015-04-19
3304326,2016-06-30
3304326,2016-07-12
3304326,2018-06-02
3667894,2019-05-28
3667894,2019-10-29
3717196,2014-09-11
3717196,2014-11-03
3717196,2014-11-04
3717196,2014-12-27
3717196,2015-02-26
3717196,2015-03-12
3717196,2015-07-28
3717196,2015-08-20
3717196,2015-09-14
3717196,2015-10-30
3717196,2015-11-06
3717196,2016-02-21
3717196,2016-04-20
71896,2011-08-22
3717196,2016-05-24
3717196,2016-06-10
3717196,2016-08-27
3717196,2016-10-30
3717196,2018-10-07
3802621,2015-12-04
3802621,2015-12-08
3802621,2015-12-30
3802621,2016-01-08
3802621,2016-01-12
3802621,2016-01-17
3802621,2016-01-29
3802621,2016-02-05
3802621,2016-02-17
3802621,2016-03-16
3802621,2016-03-25
3802621,2016-04-01
3802621,2016-04-28
3802621,2016-05-08
3802621,2016-06-23
3802621,2016-07-07
3802621,2016-12-12
3802621,2017-01-20
3802621,2017-02-03
3802621,2018-02-10
3803160,2014-11-23
3803160,2015-07-17
3803160,2015-08-11
3803160,2015-12-01
3803160,2016-07-29
3803160,2017-07-29
71896,2012-03-26
71896,2012-05-14
71896,2012-05-28
71896,2012-08-18
71896,2012-12-02
3980202,2014-09-19
3980202,2014-12-01
3980202,2015-06-03
3980202,2015-06-28
3980202,2015-07-30
3980202,2015-08-23
3980202,2015-09-14
3980202,2015-09-17
3980202,2015-10-02
3980202,2015-11-01
3980202,2015-11-19
3980202,2015-11-29
3980202,2015-12-10
3980202,2016-01-22
3980202,2016-02-13
3980202,2016-05-22
3980202,2016-05-26
3980202,2016-07-09
3980202,2017-06-03
3980202,2017-08-01
3980202,2017-09-19
3980202,2017-10-21
3980202,2018-01-25
3980202,2018-02-10
3980202,2018-02-13
3980202,2018-06-21
3980202,2018-08-12
3980202,2018-08-26
71896,2012-12-18
71896,2013-11-17
71896,2014-01-07
71896,2014-10-03
71896,2014-10-25
71896,2014-11-30
71896,2014-12-10
71896,2015-01-10
71896,2015-08-14
3981252,2014-10-26
3981252,2019-09-23
3990431,2015-08-11
3990431,2015-09-05
3990431,2015-10-12
3990431,2015-10-25
3990431,2015-12-07
71896,2015-08-16
71896,2015-08-28
71896,2015-11-16
71896,2017-08-13
71896,2019-07-20
71896,2019-07-28
71896,2019-09-23
71896,2019-10-13
3990431,2016-01-27
71903,2011-05-04
3990431,2016-02-09
3990431,2016-03-01
3990431,2016-07-30
3990431,2017-12-14
4008423,2016-11-25
4008423,2016-11-26
4008423,2016-12-13
4008423,2016-12-20
4008423,2016-12-22
4008423,2017-01-01
4008423,2017-01-08
4008423,2017-01-12
4008423,2017-01-17
4008423,2017-01-20
4008423,2017-01-22
4008423,2017-01-23
4008423,2017-01-27
4008423,2017-02-05
4008423,2017-02-07
4008423,2017-02-08
4008423,2017-02-12
4008423,2017-02-14
4008423,2017-02-20
4008423,2017-02-23
4008423,2017-02-25
4008423,2017-03-10
4008423,2017-03-12
4008423,2017-03-14
4008423,2017-03-23
4008423,2017-03-24
4008423,2017-03-25
4008423,2017-03-26
4008423,2017-03-30
4008423,2017-04-08
71903,2011-05-29
4008423,2017-04-16
4008423,2017-04-24
4008423,2017-04-26
4008423,2017-05-07
71903,2011-08-04
71903,2011-08-20
71903,2011-09-05
71903,2011-09-26
71903,2011-10-10
71903,2011-11-29
71903,2012-01-20
71903,2012-06-24
71903,2013-02-18
71903,2013-07-08
71903,2015-08-16
71903,2015-09-05
71903,2015-11-07
71903,2015-11-13
4008423,2017-05-23
4008423,2017-05-29
4008423,2017-06-05
4008423,2017-06-07
4008423,2017-06-13
4008423,2017-06-15
4008423,2017-06-16
4008423,2017-06-26
4008423,2017-06-29
4008423,2017-07-02
4008423,2017-07-05
4008423,2017-07-10
4008423,2017-07-22
4008423,2017-07-23
4008423,2017-07-26
4008423,2017-07-29
4008423,2017-07-30
4008423,2017-08-01
4008423,2017-08-12
4008423,2017-08-13
4008423,2017-08-23
4008423,2017-08-25
4008423,2017-08-26
4008423,2017-08-27
4008423,2017-08-31
4008423,2017-09-05
4008423,2017-09-07
4008423,2017-09-10
4008423,2017-09-14
4008423,2017-09-17
4008423,2017-09-23
4008423,2017-10-01
4008423,2017-10-06
4008423,2017-10-08
4008423,2017-10-11
4008423,2017-10-15
4008423,2017-10-20
4008423,2017-10-22
4008423,2017-10-24
4008423,2017-10-31
4008423,2017-11-14
4008423,2017-11-15
4008423,2017-11-22
4008423,2017-11-25
4008423,2017-12-03
4008423,2017-12-19
4008423,2017-12-21
4008423,2018-01-01
4008423,2018-01-09
4008423,2018-01-11
4008423,2018-01-14
4008423,2018-01-20
4008423,2018-01-21
4008423,2018-01-27
4008423,2018-01-31
4008423,2018-02-09
4008423,2018-02-10
4008423,2018-02-16
4008423,2018-02-19
4008423,2018-02-26
4008423,2018-03-04
4008423,2018-03-08
4008423,2018-03-17
4008423,2018-03-18
4008423,2018-03-20
4008423,2018-03-22
4008423,2018-03-27
4008423,2018-04-03
4008423,2018-04-08
4008423,2018-04-09
4008423,2018-04-12
4008423,2018-04-15
4008423,2018-04-17
4008423,2018-04-18
4008423,2018-04-22
4008423,2018-05-05
4008423,2018-05-06
4008423,2018-05-08
4008423,2018-05-09
4008423,2018-06-11
4008423,2018-06-18
4008423,2018-06-19
4008423,2018-06-21
4008423,2018-07-04
4008423,2018-07-09
4008423,2018-07-13
4008423,2018-07-19
4008423,2018-07-25
4008423,2018-07-30
4008423,2018-08-05
4008423,2018-08-09
4008423,2018-08-14
4008423,2018-08-16
4008423,2018-08-21
4008423,2018-08-30
4008423,2018-08-31
4008423,2018-09-03
4008423,2018-09-05
4008423,2018-09-16
4008423,2018-09-20
4008423,2018-10-15
4008423,2018-10-21
4008423,2018-10-26
4008423,2018-10-29
4008423,2018-11-24
4008423,2018-12-10
4008423,2018-12-16
4008423,2018-12-18
4008423,2018-12-24
4008423,2018-12-26
4008423,2018-12-27
4008423,2019-01-02
4008423,2019-01-04
4008423,2019-01-20
4008423,2019-01-22
4008423,2019-01-24
4008423,2019-01-25
4008423,2019-01-27
4008423,2019-02-01
4008423,2019-02-08
4008423,2019-02-13
4008423,2019-02-15
4008423,2019-02-24
4008423,2019-03-01
4008423,2019-03-08
4008423,2019-03-11
4008423,2019-03-12
4008423,2019-03-15
4008423,2019-03-24
4008423,2019-03-27
4008423,2019-03-30
4008423,2019-04-03
4008423,2019-04-10
4008423,2019-04-15
4008423,2019-04-30
4008423,2019-05-04
4008423,2019-06-08
71903,2015-12-13
71903,2016-01-26
4008423,2019-06-16
4008423,2019-06-17
4008423,2019-06-19
4008423,2019-06-23
4008423,2019-06-25
4008423,2019-06-27
4008423,2019-07-04
4008423,2019-07-20
4008423,2019-07-23
4008423,2019-07-24
4008423,2019-07-26
4008423,2019-08-03
4008423,2019-08-07
71903,2016-04-14
71903,2016-07-02
71903,2016-09-05
71903,2017-03-06
71903,2017-08-27
71903,2017-09-08
71903,2018-02-28
71903,2018-05-22
71903,2018-06-30
71903,2018-08-27
71903,2019-02-09
71903,2019-03-17
71903,2019-04-01
71903,2019-04-28
71903,2019-05-29
71903,2019-06-21
71903,2019-07-05
71903,2019-07-08
71903,2019-07-22
4008423,2019-08-08
71903,2019-08-15
71903,2019-09-09
71903,2019-09-19
71903,2019-09-21
71903,2019-09-22
71903,2019-10-21
71903,2019-10-23
71903,2019-11-17
71903,2019-11-26
71903,2020-01-09
275343,2013-04-20
4008423,2019-08-10
4008423,2019-08-12
4008423,2019-08-13
4008423,2019-08-16
4008423,2019-09-06
4008423,2019-09-09
4008423,2019-09-12
4008423,2019-09-14
4008423,2019-09-16
4008423,2019-09-29
4008423,2019-10-06
4008423,2019-11-02
4008423,2019-11-12
4008423,2019-11-15
4008423,2019-11-17
4008423,2019-12-02
4008423,2019-12-07
4008423,2020-01-13
275343,2013-07-08
275343,2013-07-23
275343,2013-11-19
275343,2015-02-20
275343,2015-03-21
275343,2015-06-14
275343,2015-07-26
275343,2015-10-17
275343,2016-05-24
275343,2016-07-31
275343,2016-12-05
275343,2017-09-09
275343,2018-03-06
275343,2018-04-08
275343,2019-01-02
275343,2019-02-17
275343,2019-04-21
275343,2019-10-17
275343,2020-04-17
275343,2022-05-15
275343,2022-08-13
275344,2012-04-26
4008423,2020-01-27
4008423,2020-01-31
4008423,2022-05-11
275344,2013-03-08
275344,2013-08-28
275344,2013-08-30
4008423,2022-05-15
275344,2013-09-29
275344,2014-01-26
275344,2014-12-05
4008423,2022-06-26
4008423,2022-06-28
4008423,2022-07-06
4008423,2022-07-16
4008423,2022-07-26
4008423,2022-08-04
4008423,2022-08-19
4008423,2022-08-22
4008423,2022-09-05
4008423,2022-09-22
4008423,2022-09-26
4008423,2022-10-03
4008423,2022-10-06
4008423,2022-10-11
4008423,2022-10-21
4008423,2022-10-30
4008423,2022-11-20
275344,2015-01-06
275344,2015-07-13
275344,2018-09-13
275344,2019-11-28
275344,2020-04-05
275344,2020-12-27
275344,2022-07-09
275344,2023-03-23
275344,2023-07-24
275344,2023-08-16
289234,2012-07-05
289234,2013-08-11
289234,2014-07-19
289234,2014-09-20
289234,2015-01-17
289234,2015-08-01
289234,2016-01-01
289234,2016-04-26
289234,2018-04-29
289234,2018-06-18
289234,2018-12-28
289234,2019-01-01
294281,2012-01-28
4008423,2022-11-30
4008423,2022-12-09
4008423,2023-01-08
